time,CT6_1000_1,CT6_1000_2,CT6_1000_3,CT6_600_1,CT6_600_2,CT6_600_3,CT6_800_1,CT6_800_2,CT6_800_3
271,101325,108219,108219,108219,108219,108219,108219,108219,108219
271,101325,108219,108219,108219,108219,101325,108219,108219,108219
271,101325,108219,108219,108219,101325,101325,108219,108219,108219
271,101325,108219,108219,101325,101325,101325,108219,108219,108219
271,101325,108219,108219,101325,101325,101325,108219,108219,108219
271,101325,108219,108219,101325,101325,101325,108219,108219,108219
271,101325,108219,108219,101325,101325,101325,108219,108219,108219
271,101325,108219,108219,101325,101325,101325,108219,108219,108219
271,101325,108219,108219,101325,101325,101325,108219,108219,108219
271,101325,101325,108219,101325,101325,101325,108219,108219,108219
271,101325,101325,108219,101325,101325,101325,108219,108219,108219
271,101325,101325,108219,101325,101325,101325,101325,108219,108219
271,101325,101325,108219,101325,101325,101325,101325,101325,101325
271,101325,101325,108219,101325,101325,101325,101325,101325,101325
271,101325,101325,108219,101325,101325,101325,101325,101325,101325
271,101325,101325,108219,101325,101325,101325,101325,101325,101325
271,101325,101325,108219,101325,101325,101325,101325,101325,101325
271,101325,101325,108219,101325,101325,101325,101325,101325,101325
271,101325,101325,108219,101325,101325,101325,101325,101325,101325
271,101325,101325,108219,101325,101325,101325,101325,101325,101325
271,101325,101325,108219,101325,101325,101325,101325,101325,101325
271,101325,101325,101325,101325,101325,101325,101325,101325,101325
